Session ID,u1770058516814
Completed At,2026-02-02 19:11:02.318Z
Created At,2026-02-02 18:55:16.814Z

User Data
prolificId,58cc6e1293dac30001d4abc6
age,55
gender,male
feedback,"Hi!
I think actually observing, then playing, made it easier to get the gist of the game as the instructions were a tad confusing initially."
timestamp,1770059573777

Comprehension Check
Passed,TRUE

Level: comprehension_check
2026-02-02 19:00:07.058Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,3.0,,,,experienced1,,,
2026-02-02 19:00:07.621Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,2.0,,,,experienced1,,,
2026-02-02 19:00:08.258Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:24.168Z,GAME_ACTION,right,5.0,6.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:25.599Z,GAME_ACTION,right,5.0,6.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:26.133Z,GAME_ACTION,right,5.0,6.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:31.331Z,GAME_ACTION,up,5.0,6.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:31.801Z,GAME_ACTION,up,5.0,5.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:32.318Z,GAME_ACTION,up,5.0,4.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:32.843Z,GAME_ACTION,up,5.0,3.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:33.849Z,GAME_ACTION,right,5.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:34.321Z,GAME_ACTION,right,6.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:34.816Z,GAME_ACTION,right,7.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:35.333Z,GAME_ACTION,right,8.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:36.549Z,GAME_ACTION,up,9.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:36.550Z,INTERACTION,,9.0,2.0,,,,6.0,2.0,,,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 19:00:38.589Z,GAME_ACTION,left,9.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:39.061Z,GAME_ACTION,left,8.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:39.511Z,GAME_ACTION,left,7.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:40.029Z,GAME_ACTION,left,6.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:40.899Z,GAME_ACTION,down,5.0,2.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:41.349Z,GAME_ACTION,down,5.0,3.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:41.761Z,GAME_ACTION,down,5.0,4.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:42.189Z,GAME_ACTION,down,5.0,5.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:42.639Z,GAME_ACTION,down,5.0,6.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:43.104Z,GAME_ACTION,down,5.0,7.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:44.529Z,GAME_ACTION,right,5.0,8.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:44.964Z,GAME_ACTION,right,6.0,8.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:45.392Z,GAME_ACTION,right,7.0,8.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:45.909Z,GAME_ACTION,right,8.0,8.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:45.910Z,INTERACTION,,8.0,8.0,,,,6.0,2.0,,,,experienced1,,treasure_interaction,B
2026-02-02 19:00:45.910Z,LEVEL_COMPLETE,,8.0,8.0,,,,6.0,2.0,,,,experienced1,,,
2026-02-02 19:00:48.912Z,LEVEL_COMPLETE,,8.0,8.0,,,,6.0,2.0,12.0,,,experienced1,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:00:48.976Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:00:48.980Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:01:04.321Z,AGENT_OBSERVE,,5.0,6.0,2.0,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:14.342Z,GAME_ACTION,down,5.0,6.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:16.120Z,GAME_ACTION,down,5.0,7.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:17.342Z,GAME_ACTION,left,5.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:17.822Z,GAME_ACTION,left,4.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:18.347Z,GAME_ACTION,left,3.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:18.887Z,GAME_ACTION,left,2.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:19.914Z,GAME_ACTION,down,1.0,8.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:20.441Z,GAME_ACTION,down,1.0,9.0,,,,5.0,5.0,,,,experienced1,,,
2026-02-02 19:01:20.442Z,INTERACTION,,1.0,9.0,,,,5.0,5.0,,,,experienced1,,wizard_interaction,redAmulet
2026-02-02 19:01:24.024Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,6.0,,,,experienced1,,,
2026-02-02 19:01:25.104Z,AGENT_OBSERVE,,1.0,9.0,2.0,,,5.0,7.0,,,,experienced1,,,
2026-02-02 19:01:27.654Z,AGENT_OBSERVE,,1.0,9.0,3.0,4.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:28.606Z,AGENT_OBSERVE,,1.0,9.0,3.0,3.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:29.275Z,AGENT_OBSERVE,,1.0,9.0,3.0,3.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:31.099Z,AGENT_OBSERVE,,1.0,9.0,3.0,2.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:32.477Z,AGENT_OBSERVE,,1.0,9.0,3.0,1.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:33.055Z,AGENT_OBSERVE,,1.0,9.0,3.0,1.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:36.599Z,AGENT_OBSERVE,,1.0,9.0,3.0,2.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:37.652Z,AGENT_OBSERVE,,1.0,9.0,3.0,3.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:38.237Z,AGENT_OBSERVE,,1.0,9.0,3.0,4.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:40.225Z,AGENT_OBSERVE,,1.0,9.0,3.0,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:41.530Z,GAME_ACTION,up,1.0,9.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:43.645Z,GAME_ACTION,right,1.0,8.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:44.200Z,GAME_ACTION,right,2.0,8.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:44.688Z,GAME_ACTION,right,3.0,8.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:45.237Z,GAME_ACTION,right,4.0,8.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:46.624Z,GAME_ACTION,up,5.0,8.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:47.095Z,GAME_ACTION,up,5.0,7.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:47.560Z,GAME_ACTION,up,5.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:48.018Z,GAME_ACTION,up,5.0,5.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:49.196Z,GAME_ACTION,right,5.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:49.645Z,GAME_ACTION,right,6.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:50.050Z,GAME_ACTION,right,7.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:50.545Z,GAME_ACTION,right,8.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:50.546Z,INTERACTION,,8.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2026-02-02 19:01:54.978Z,GAME_ACTION,left,8.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:55.654Z,GAME_ACTION,left,7.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:56.230Z,GAME_ACTION,left,6.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:57.402Z,GAME_ACTION,down,5.0,4.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:57.866Z,GAME_ACTION,down,5.0,5.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:58.691Z,GAME_ACTION,left,5.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:59.202Z,GAME_ACTION,left,4.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:01:59.928Z,GAME_ACTION,left,3.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:02:00.602Z,GAME_ACTION,left,2.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:02:00.602Z,INTERACTION,,2.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,treasure_interaction,A
2026-02-02 19:02:00.602Z,LEVEL_COMPLETE,,2.0,6.0,,5.0,2.0,5.0,7.0,,experienced1,,experienced1,,,
2026-02-02 19:02:03.604Z,LEVEL_COMPLETE,,2.0,6.0,,5.0,2.0,5.0,7.0,13.0,experienced1,,experienced1,,,

Level: sm321_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:07:12.918Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:07:12.921Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:07:26.837Z,AGENT_OBSERVE,,3.0,9.0,3.0,9.0,9.0,,,,experienced1,,,,,
2026-02-02 19:07:28.141Z,AGENT_OBSERVE,,3.0,9.0,3.0,9.0,9.0,,,,experienced1,,,,,
2026-02-02 19:07:30.436Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,9.0,,,,experienced1,,,,,
2026-02-02 19:07:31.006Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,8.0,,,,experienced1,,,,,
2026-02-02 19:07:31.674Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,7.0,,,,experienced1,,,,,
2026-02-02 19:07:32.311Z,AGENT_OBSERVE,,3.0,9.0,3.0,9.0,7.0,,,,experienced1,,,,,
2026-02-02 19:07:32.965Z,AGENT_OBSERVE,,3.0,9.0,3.0,9.0,7.0,,,,experienced1,,,,,
2026-02-02 19:07:34.186Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,7.0,,,,experienced1,,,,,
2026-02-02 19:07:34.786Z,AGENT_OBSERVE,,3.0,9.0,3.0,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:37.112Z,GAME_ACTION,right,3.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:37.547Z,GAME_ACTION,right,4.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:37.952Z,GAME_ACTION,right,5.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:38.454Z,GAME_ACTION,right,6.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:39.392Z,GAME_ACTION,right,7.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:40.757Z,GAME_ACTION,up,8.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:41.146Z,GAME_ACTION,up,8.0,8.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:41.552Z,GAME_ACTION,up,8.0,7.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:41.956Z,GAME_ACTION,up,8.0,6.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:42.422Z,GAME_ACTION,up,8.0,5.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:43.046Z,GAME_ACTION,up,8.0,4.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:43.713Z,GAME_ACTION,left,8.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:44.064Z,GAME_ACTION,left,7.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:44.433Z,GAME_ACTION,left,6.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:44.815Z,GAME_ACTION,left,5.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:45.256Z,GAME_ACTION,left,4.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:45.669Z,GAME_ACTION,left,3.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:46.314Z,GAME_ACTION,up,2.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:46.660Z,GAME_ACTION,up,2.0,2.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:47.147Z,GAME_ACTION,up,2.0,1.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:47.147Z,INTERACTION,,2.0,1.0,,8.0,6.0,,,,experienced1,,,,wizard_interaction,blueAmulet
2026-02-02 19:07:48.654Z,GAME_ACTION,down,2.0,1.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:49.014Z,GAME_ACTION,down,2.0,2.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:50.146Z,GAME_ACTION,right,2.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:50.476Z,GAME_ACTION,right,3.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:50.876Z,GAME_ACTION,right,4.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:51.226Z,GAME_ACTION,right,5.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:51.632Z,GAME_ACTION,right,6.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:52.135Z,GAME_ACTION,right,7.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:52.899Z,GAME_ACTION,down,8.0,3.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:53.243Z,GAME_ACTION,down,8.0,4.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:53.583Z,GAME_ACTION,down,8.0,5.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:53.935Z,GAME_ACTION,down,8.0,6.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:54.280Z,GAME_ACTION,down,8.0,7.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:55.202Z,GAME_ACTION,down,8.0,8.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:56.627Z,GAME_ACTION,left,8.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:57.032Z,GAME_ACTION,left,7.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:57.431Z,GAME_ACTION,left,6.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:57.789Z,GAME_ACTION,left,5.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:58.172Z,GAME_ACTION,left,4.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:58.561Z,GAME_ACTION,left,3.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:58.899Z,GAME_ACTION,left,2.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:07:59.358Z,GAME_ACTION,left,1.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:08:00.196Z,GAME_ACTION,down,0.0,9.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:08:00.632Z,GAME_ACTION,down,0.0,10.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:08:00.632Z,INTERACTION,,0.0,10.0,,8.0,6.0,,,,experienced1,,,,treasure_interaction,B
2026-02-02 19:08:00.632Z,LEVEL_COMPLETE,,0.0,10.0,,8.0,6.0,,,,experienced1,,,,,
2026-02-02 19:08:03.633Z,LEVEL_COMPLETE,,0.0,10.0,,8.0,6.0,,,16.0,experienced1,,,,,

Level: sm331_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:04:55.640Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:04:55.645Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:05:12.352Z,AGENT_OBSERVE,,3.0,11.0,3.0,1.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:13.327Z,AGENT_OBSERVE,,3.0,11.0,3.0,1.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:14.107Z,AGENT_OBSERVE,,3.0,11.0,3.0,2.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:14.647Z,AGENT_OBSERVE,,3.0,11.0,3.0,3.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:15.165Z,AGENT_OBSERVE,,3.0,11.0,3.0,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:17.572Z,GAME_ACTION,up,3.0,11.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:18.009Z,GAME_ACTION,up,3.0,10.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:18.474Z,GAME_ACTION,up,3.0,9.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:18.945Z,GAME_ACTION,up,3.0,8.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:19.372Z,GAME_ACTION,up,3.0,7.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:19.822Z,GAME_ACTION,up,3.0,6.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:20.288Z,GAME_ACTION,up,3.0,5.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:20.753Z,GAME_ACTION,up,3.0,4.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:21.353Z,GAME_ACTION,up,3.0,3.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:22.470Z,GAME_ACTION,left,3.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:22.929Z,GAME_ACTION,left,2.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:23.444Z,GAME_ACTION,left,1.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:23.445Z,INTERACTION,,1.0,2.0,,4.0,2.0,,,,experienced1,,,,wizard_interaction,blueAmulet
2026-02-02 19:05:25.058Z,GAME_ACTION,right,1.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:26.048Z,GAME_ACTION,right,3.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:26.527Z,GAME_ACTION,right,4.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:26.984Z,GAME_ACTION,right,5.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:27.465Z,GAME_ACTION,right,6.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:27.938Z,GAME_ACTION,right,7.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:28.464Z,GAME_ACTION,right,8.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:29.048Z,GAME_ACTION,right,9.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:29.858Z,GAME_ACTION,up,10.0,2.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:30.412Z,GAME_ACTION,up,10.0,1.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:30.412Z,INTERACTION,,10.0,1.0,,4.0,2.0,,,,experienced1,,,,treasure_interaction,A
2026-02-02 19:05:30.412Z,LEVEL_COMPLETE,,10.0,1.0,,4.0,2.0,,,,experienced1,,,,,
2026-02-02 19:05:33.413Z,LEVEL_COMPLETE,,10.0,1.0,,4.0,2.0,,,18.0,experienced1,,,,,

Level: sm341_2
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2026-02-02 19:05:33.480Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:05:33.486Z,LEVEL_START,,,,,,,,,,,,,,,
2026-02-02 19:05:51.068Z,AGENT_OBSERVE,,0.0,8.0,2.0,,,6.0,3.0,,,,experienced2,,,
2026-02-02 19:05:51.992Z,AGENT_OBSERVE,,0.0,8.0,2.0,,,5.0,3.0,,,,experienced2,,,
2026-02-02 19:05:52.823Z,AGENT_OBSERVE,,0.0,8.0,2.0,,,4.0,3.0,,,,experienced2,,,
2026-02-02 19:05:54.782Z,AGENT_OBSERVE,,0.0,8.0,3.0,0.0,2.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:05:56.536Z,AGENT_OBSERVE,,0.0,8.0,3.0,0.0,2.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:05:57.594Z,AGENT_OBSERVE,,0.0,8.0,3.0,0.0,3.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:05:58.222Z,AGENT_OBSERVE,,0.0,8.0,3.0,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:01.344Z,GAME_ACTION,right,0.0,8.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:01.815Z,GAME_ACTION,right,1.0,8.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:02.770Z,GAME_ACTION,up,2.0,8.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:03.210Z,GAME_ACTION,up,2.0,7.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:03.706Z,GAME_ACTION,up,2.0,6.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:04.157Z,GAME_ACTION,up,2.0,5.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:04.688Z,GAME_ACTION,up,2.0,4.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:06.578Z,GAME_ACTION,left,2.0,3.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
2026-02-02 19:06:07.013Z,GAME_ACTION,left,1.0,3.0,,0.0,4.0,4.0,3.0,,experienced2,,experienced2,,,
